NPO,服務項目,服務對象,網站,電子郵件,聯絡電話,所在縣市,聯絡人
世界和平婦女會台灣總會,社會教育、推廣教育、志願服務、專業訓練,,http://www.wfwp.org.tw/,sophie.wfwp@gmail.com,02-23637656分機14,台北市,林淑慧
中和兒童發展中心,,組織專業,http://www.diyi.org.tw,Zhonhe@ms53.hinet.net,82263522,新北市,黃琡雅
中和兒童發展中心,日間照顧、早期療育、專業訓練、親職教育,組織專業、兒童、身心障礙,http://www.diyi.org.tw,Zhonhe@ms53.hinet.net,82263522,新北市,黃琡雅
中華傳愛社區服務協會,諮詢服務、家屬或照顧者支持與訓練、教育輔導、心理層面之支持、重建、諮商、日間照顧,兒童、青少年、老人、家庭,http://www.e-touch.org.tw,ycho@grace.org.tw,04-22928891分機290,台中市,卓彥谷
中華啟智工作人員協會,專業訓練、資訊提供、其他,組織專業、身心障礙,http://home.kimo.com.tw/kou0066/,c.c.w.a@yahoo.com.tw,02-27358939,台北市,社工陳長慈
中華啟能基金會,日間照顧、復康復健、住宿服務,身心障礙,http://www.spris.org.tw,ruthwu1215@yahoo.com.tw,02-26713001分機2307,新北市,陳美花
中華單親家庭互助協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、諮詢服務和轉介、社會網絡與倡導,家庭,http://www.twsinglefamily.com/,singlefamily@singlefamily.org.tw,02-25682556,台北市,陳昱蒨
中華基督教救助協會,社會教育、推廣教育、經濟扶助、志願服務、安親課輔、親職教育、資訊提供、關懷訪視、其他,社區居民、家庭,http://www.ccra.org.tw,help@ccra.org.tw,02-27769995,台北市,夏忠堅.劉秀愛(＃177)
中華基督教救助協會辦理南投縣竹山鎮第二生活重建中心,,,,help@ccra.org.tw,049-2644545,南投縣,夏忠堅
中華平安服務協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、志工培訓、管理、性別及婚姻支持服務,受刑人、遊民、勞工、社區居民、原住民、組織專業、家庭、老人、婦女、青少年、兒童、身心障礙,http://www.pc.org.tw/4,eating0208@gmail.com,04-22939717,台中市,羅依婷
中華心理衛生協會,職業訓練、緊急生活重建、心理層面之支持、重建、諮商、就業準備及訓練、社會宣導、志工培訓、管理,其他、勞工、婦女、青少年、身心障礙,http://www.mhat.org.tw,mhat.anne@gmail.com,02-25576980,台北市,莊堯安
中華普露功德會,社會教育、推廣教育、經濟扶助、輔導諮商、自殺防治、志願服務、安親課輔、問安服務、康樂休閒、關懷訪視,社區居民、老人、青少年、兒童、身心障礙,,lou25159317@yahoo.com.tw,(04)2515-9317.(04)2527-1497,台中市,劉育昇
中華民國傳愛社會福利暨服務協會辦理南投縣水里鄉生活重建服務中心,,,,ahuang@grace.org.tw,04-22984774,台中市,黃清塗
中華民國僵直性脊椎炎關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、疾病或藥酒毒癮服務、諮詢服務和轉介,疾病患者,http://www.ascare.org.tw,ascare.tpe@msa.hinet.net,02-25496695,台北市,葉淑真
中華民國先天及代謝疾病關懷之友協會,生活層面之支持與重建、心理層面之支持、重建、諮商、社會宣導、志工培訓、管理,疾病患者、身心障礙,http://www.pku.org.tw,pkuintw@yahoo.com.tw,02-66115889,台北市,陳仲豪
中華民國兒童福利聯盟文教基金會-南區辦事處,收容安置、社區發展、經濟扶助、權益倡導、輔導諮商、自殺防治、志願服務、專業訓練、托育服務、親職教育、康樂休閒、資訊提供、法律諮詢、宣導防治、關懷訪視,社區居民、組織專業、家庭、青少年、兒童,http://www.children.org.tw,cwlfkaoh.@cwlf.org.tw,07-3301163,高雄市,黃瑋瑩
中華民國劉俠（杏林子）之友會,職業訓練、社會教育、推廣教育、在宅服務、居家照顧、社區發展、經濟扶助、權益倡導、輔導諮商、自殺防治、志願服務、專業訓練、親職教育、康樂休閒、資訊提供、宣導防治、關懷訪視,原住民、家庭、老人、婦女、青少年、兒童、身心障礙,https://www.unitedway.org.tw/a25784508%40,a25784508@yahoo.com.tw,(02)2578-4508,台北市,陳坤明
中華民國唐氏症關愛者協會,照顧者支持與訓練、諮詢服務和轉介,身心障礙,http://www.rocdown-syndrome.org.tw,down3578@msa32.hinet.net,02-22789888分機228,新北市,黃建華
中華民國啟智協會,專業訓練、其他,組織專業,http://blog.xuite.net/rocamhp/blog,rocamhp.mail@msa.hinet.net,02-27358939,台北市,谷明
中華民國啟聰協會,就業輔導、社會教育、推廣教育、專業訓練、輔具服務、親職教育、康樂休閒、資訊提供,身心障礙,http://www.deaf.org.tw,ccdatw@yahoo.com.tw,02-25219876,台北市,周世梅
中華民國基督教女青年會協會,專業訓練、教育輔導、其他,其他、組織專業、婦女,http://www.ywca.org.tw,ywca.24@ywca.org.tw,02-23140408分機15,台北市,藍云均
中華民國基督教約書亞全人關懷協會,社會教育、推廣教育、輔導諮商、自殺防治、安親課輔、親職教育、關懷訪視,疾病患者、社區居民、原住民、家庭、青少年、兒童、身心障礙,,moses0821@yahoo.com.tw,-05-2277007,嘉義市,許麗梅
