name,list1,list2,list3,list4
財團法人濟興長青基金會,1,1,1,1
財團法人喜憨兒社會福利基金會,1,1,1,1
社團法人高雄市慈善團體聯合總會,1,1,1,1
社團法人南投縣麻煩小天使協會,1,1,1,1
社團法人台灣彩虹雙福協會,1,1,1,1
財團法人成長文教基金會,1,1,1,1
社團法人台灣愛鄰社區服務協會,1,1,1,1
財團法人育成社會福利基金會,1,1,1,1
社團法人台灣少年權益與福利促進聯盟,1,1,1,1
財團法人台灣紅絲帶基金會,1,1,1,1
社團法人世界和平會,1,1,1,1
財團法人天使心家族社會福利基金會,1,1,1,1
財團法人台北市自閉兒社會福利基金會,1,1,1,1
財團法人台灣癌症基金會,1,1,1,1
財團法人台北市失親兒福利基金會,1,1,1,1
社團法人台灣數位有聲書推展學會,1,1,1,1
財團法人伊甸社會福利基金會,1,1,1,1
財團法人台北市脊髓損傷社會福利基金會,1,1,1,1
財團法人基督教芥菜種會,1,1,1,1
財團法人台北市賽珍珠基金會,1,1,1,1
社團法人台灣黃絲帶愛網關懷協會,1,1,1,1
台灣觸愛協會,1,1,1,1
財團法人老五老基金會,1,1,1,1
財團法人瑪利亞社會福利基金會,1,1,1,1
財團法人林業生社會福利慈善事業基金會,1,1,1,1
財團法人弘道老人福利基金會,1,1,1,1
社團法人中華民國新生活社會福利發展促進會,1,1,1,1
社團法人台灣兒童少年希望協會,1,1,1,1
社團法人高雄市盲人福利協進會,1,1,1,0
高雄市燭光協會,1,1,1,0
社團法人高雄市調色板協會,1,1,1,0
社團法人中華民國海員漁民權益保護協會,1,1,1,0
社團法人高雄市天晴女性願景協會,1,1,1,0
財團法人平安社會福利慈善事業基金會,1,0,1,1
社團法人高雄市小草關懷協會,1,0,1,1
社團法人高雄市一葉蘭同心會,1,1,1,0
財團法人高雄市私立星星兒社會福利基金會,1,0,1,1
中華民國發展遲緩兒童早期療育協會,1,0,1,1
社團法人花蓮縣老人暨家庭關懷協會,1,0,1,1
社團法人嘉義市生命線協會,1,1,1,0
社團法人嘉義縣扶緣服務協會,1,1,1,0
新港文教基金會,1,1,1,0
財團法人苗栗縣私立新苗發展中心,1,0,1,1
社團法人苗栗縣愛加倍社區關懷協會,1,1,1,0
財團法人博幼社會福利基金會,1,0,1,1
財團法人南投縣私立炫寬愛心教養家園,1,1,1,0
社團法人南投縣心理衛生協進會,1,1,1,0
社團法人屏東縣躍愛全人關懷協會,1,1,1,0
財團法人癌症希望基金會,1,0,1,1
社團法人中華民國肯愛社會服務協會,1,0,1,1
財團法人台灣肯納自閉症基金會,1,0,1,1
財團法人佛教蓮花基金會,1,1,0,1
財團法人雙福社會福利慈善事業基金會,1,0,1,1
財團法人環宇國際文化教育基金會,1,0,1,1
社團法人中華民國恩友愛心協會,1,1,1,0
財團法人台北市基督教勵友中心,1,0,1,1
社團法人中華民國愛滋感染者權益促進會,1,0,1,1
社團法人中華民國乳癌病友協會,1,0,1,1
財團法人台北市婦女救援社會福利事業基金會,1,0,1,1
社團法人台北市視障者家長協會,1,0,1,1
財團法人台灣醫療改革基金會,1,0,1,1
社團法人台北市心生活協會,1,1,1,0
台北市自閉症家長協會,1,1,1,0
世界和平婦女會台灣總會,1,1,1,0
財團法人陽光社會福利基金會,1,0,1,1
財團法人中華民國自閉症基金會,1,0,1,1
財團法人人安社會福利慈善事業基金會,1,1,0,1
中華民國腦性麻痺協會,1,1,1,0
財團法人台灣國際奧比斯防盲救盲基金會,1,1,0,1
社團法人國際生命線台灣總會,1,0,1,1
社團法人台北市脊髓損傷者協會,1,1,1,0
社團法人中華小腦萎縮症病友協會,1,1,1,0
財團法人至善社會福利基金會,1,0,1,1
中華民國紅十字會總會,1,0,1,1
社團法人台灣赤子心過動症協會,1,1,1,0
社團法人中華育幼機構兒童關懷協會,1,0,1,1
社團法人台灣露德協會,1,0,1,1
財團法人台北市愛慈社會福利基金會,1,0,1,1
社團法人中華民國血友病協會,1,1,1,0
財團法人台北市敦安社會福利基金會,1,1,0,1
中華民國自閉症總會,1,1,1,0
社團法人中華民國荒野保護協會,1,0,1,1
社團法人中華安得烈慈善協會,1,1,0,1
社團法人台灣失智症協會,1,0,1,1
財團法人愛盲基金會,1,0,1,1
中華民國癌友新生命協會,1,1,1,0
財團法人介惠社會福利慈善基金會,1,0,1,1
財團法人李勝賢文教基金會,1,1,1,0
財團法人台灣省私立心德慈化教養院,1,0,1,1
社團法人台南市教育及兒童青少年發展協會,1,1,1,0
社團法人台南市婦女會,1,1,1,0
台中市基督教女青年會,1,1,1,0
社團法人台灣基地協會,1,0,1,1
財團法人台中市私立真愛社會福利慈善事業基金會,1,1,1,0
社團法人台中市生命線協會,1,1,1,0
社團法人台灣新移民協會,1,1,1,0
社團法人中華漢翔百元扶幼協會,1,1,1,0
財團法人天主教會台中教區附設台中市私立慈愛智能發展中心,1,0,1,1
社團法人台中市亞斯伯格症肯納症協進會,1,1,1,0
財團法人台灣省私立毓得社會福利基金會,1,1,1,0
社團法人台中市康復之友協會,1,1,1,0
社團法人台灣油症受害者支持協會,1,0,1,1
社團法人台灣福氣社區關懷協會,1,1,1,0
中華民國聲暉聯合會,1,0,1,1
台灣社會工作專業服務品質策進協會,1,1,1,0
社團法人中華民國失智者照顧協會,1,1,1,0
台中市親子關懷協會,1,1,1,0
社團法人台中市聾人協會,1,1,1,0
社團法人台灣之心愛護動物協會,1,1,0,1
財團法人桃園縣私立心燈啟智教養院,1,1,1,0
財團法人桃園縣私立寶貝潛能發展中心,1,0,1,1
社團法人桃園縣智障者家長協會,1,1,1,0
社團法人桃園縣社區精神復健協會,1,1,1,0
財團法人桃園縣美好社會福利基金會,1,0,1,1
社團法人桃園縣助人專業促進協會,1,0,1,1
財團法人桃園縣私立路得啟智學園,1,0,1,1
財團法人青年和平團,1,1,1,0
社團法人新北市殘障福利服務協會,1,1,1,0
社團法人台灣婦女展業協會,1,0,1,1
財團法人中華民國唐氏症基金會,1,0,1,1
財團法人勵馨社會福利事業基金會,1,0,1,1
社團法人中華溝通分析協會,1,1,1,0
社團法人新北市春陽關懷協會,1,1,1,0
社團法人中華民國瑪納有機文化生活促進會,1,0,1,1
財團法人台灣省私立台灣盲人重建院,1,0,1,1
社團法人中華民國南洋台灣姊妹會,1,1,1,0
財團法人新北市私立明新兒童發展中心,1,1,1,0
社團法人新竹市自閉症協進會,1,1,1,0
財團法人福榮融合教育推廣基金會,1,1,1,0
財團法人阿寶教育基金會,1,0,1,1
財團法人宜蘭縣私立宏仁老人長期照顧中心(養護型),1,1,1,0
財團法人慈懷社會福利基金會,1,0,1,1
社團法人雲林縣老人福利保護協會,1,1,1,0
社團法人雲林縣聽語障福利協進會,1,1,1,0
社團法人彰化縣喜樂小兒麻痺關懷協會,1,0,1,1
財團法人第一社會福利基金會,0,1,1,1
財團法人婦女新知基金會,0,1,1,1
財團法人廣青文教基金會,0,1,1,1
財團法人靖娟兒童安全文教基金會,0,1,1,1
財團法人台南市私立天主教瑞復益智中心,0,1,1,1
財團法人台中市私立甘霖社會福利慈善事業基金會,0,1,1,1
財團法人天主教光仁社會福利基金會,0,1,1,1
財團法人天主教善牧社會福利基金會,0,1,1,1
財團法人心路社會福利基金會,0,1,1,1
財團法人新竹市天主教仁愛社會福利基金會,0,1,1,1
社團法人台南市慈光身障協會,0,1,1,1
社團法人台中市開懷協會,0,1,1,1
社團法人中華民國合家歡協會,0,1,1,1
社團法人中華牧羊人青少年關懷協會,0,1,1,1
中華民國基督教女青年會協會,0,1,1,1
社團法人高雄市故事媽媽協會,1,0,1,0
社團法人高雄市心智障礙服務協進會,1,0,1,0
社團法人高雄市殘障服務協會,1,1,0,0
社團法人高雄三山脊損重建協會,1,0,1,0
社團法人高雄市關懷台灣協會,1,0,1,0
社團法人台灣愛克曼兒童及青少年體驗學習協會,1,0,1,0
社團法人高雄市第一志願服務協會,1,0,1,0
社團法人高雄市大高雄生命線協會,1,0,1,0
社團法人高雄市關懷身心障礙者就業協進會,1,1,0,0
社團法人台灣愛之希望協會,1,0,1,0
社團法人高雄市佛光腎臟關懷協會,1,0,1,0
社團法人高雄市婦女新知協會,1,0,1,0
社團法人高雄市築夢關懷協會,1,0,1,0
伊甸社會福利基金會高雄市事務所,1,0,1,0
財團法人聖功社會福利慈善基金會,1,0,1,0
